countrySource,countryTarget,value,type,year,month
Russia,United Kingdom,751.8335639999999,export,2011,10
China,United Kingdom,4019.564008,export,2011,10
South Korea,United Kingdom,292.692957,export,2011,10
Japan,United Kingdom,1275.595048,export,2011,10
India,United Kingdom,679.134283,export,2011,10
Singapore,United Kingdom,506.053002,export,2011,10
Indonesia,United Kingdom,148.423171,export,2011,10
United States,Netherlands,3651.661842,export,2011,10
Canada,Netherlands,501.941065,export,2011,10
Brazil,Netherlands,1213.397228,export,2011,10
United Kingdom,Netherlands,2961.101586,export,2011,10
Netherlands,Netherlands,0.0,export,2011,10
France,Netherlands,2029.510399,export,2011,10
Germany,Netherlands,7805.409723999999,export,2011,10
Italy,Netherlands,975.305377,export,2011,10
Russia,Netherlands,5525.591206,export,2011,10
China,Netherlands,5113.315882,export,2011,10
South Korea,Netherlands,402.486551,export,2011,10
Japan,Netherlands,1460.118702,export,2011,10
India,Netherlands,1012.317541,export,2011,10
Singapore,Netherlands,552.1779240000001,export,2011,10
Indonesia,Netherlands,338.63689700000003,export,2011,10
United States,France,2438.346368,export,2011,10
Canada,France,281.434997,export,2011,10
Brazil,France,389.217862,export,2011,10
United Kingdom,France,3016.405296,export,2011,10
Netherlands,France,5250.946764,export,2011,10
France,France,0.0,export,2011,10
Germany,France,11158.23345,export,2011,10
Italy,France,5162.241231,export,2011,10
Russia,France,685.867884,export,2011,10
China,France,2358.721836,export,2011,10
South Korea,France,208.590403,export,2011,10
Japan,France,733.773967,export,2011,10
India,France,371.628631,export,2011,10
Singapore,France,485.7074730000001,export,2011,10
Indonesia,France,111.980032,export,2011,10
United States,Germany,4505.428672999999,export,2011,10
Canada,Germany,487.874676,export,2011,10
Brazil,Germany,809.8246379999999,export,2011,10
United Kingdom,Germany,4847.377377000001,export,2011,10
Netherlands,Germany,14659.474241,export,2011,10
France,Germany,8146.193623999999,export,2011,10
Germany,Germany,0.0,export,2011,10
Italy,Germany,5602.460722,export,2011,10
Russia,Germany,1690.4172219999998,export,2011,10
China,Germany,6353.168081,export,2011,10
South Korea,Germany,721.459009,export,2011,10
Japan,Germany,2089.856276,export,2011,10
India,Germany,579.592147,export,2011,10
Singapore,Germany,507.485929,export,2011,10
Indonesia,Germany,241.070014,export,2011,10
United States,Italy,1322.098375,export,2011,10
Canada,Italy,126.603786,export,2011,10
Brazil,Italy,439.078213,export,2011,10
United Kingdom,Italy,1197.826015,export,2011,10
Netherlands,Italy,2592.183735,export,2011,10
France,Italy,4050.596392,export,2011,10
Germany,Italy,7095.913042,export,2011,10
Italy,Italy,0.0,export,2011,10
Russia,Italy,2547.433102,export,2011,10
China,Italy,2289.9374390000003,export,2011,10
South Korea,Italy,246.389746,export,2011,10
Japan,Italy,418.526872,export,2011,10
India,Italy,336.88914500000004,export,2011,10
Singapore,Italy,70.17589100000001,export,2011,10
Indonesia,Italy,190.544339,export,2011,10
United States,Russia,778.018639,export,2011,10
Canada,Russia,135.339728,export,2011,10
Brazil,Russia,165.767353,export,2011,10
United Kingdom,Russia,683.904962,export,2011,10
Netherlands,Russia,846.944548,export,2011,10
France,Russia,760.875117,export,2011,10
Germany,Russia,4148.202135,export,2011,10
Italy,Russia,1145.669614,export,2011,10
Russia,Russia,0.0,export,2011,10
China,Russia,3450.948786,export,2011,10
South Korea,Russia,806.049925,export,2011,10
Japan,Russia,1288.386274,export,2011,10
India,Russia,143.335608,export,2011,10
Singapore,Russia,30.878674,export,2011,10
Indonesia,Russia,56.320161,export,2011,10
United States,China,9745.556144,export,2011,10
Canada,China,1542.296014,export,2011,10
Brazil,China,3559.312935,export,2011,10
United Kingdom,China,1249.691,export,2011,10
Netherlands,China,787.735437,export,2011,10
France,China,1798.1357670000002,export,2011,10
Germany,China,7403.899018999999,export,2011,10
Italy,China,1209.846314,export,2011,10
Russia,China,2926.246518,export,2011,10
China,China,0.0,export,2011,10
South Korea,China,11844.873963,export,2011,10
Japan,China,13961.708448,export,2011,10
India,China,1384.119624,export,2011,10
Singapore,China,3721.443089,export,2011,10
Indonesia,China,2393.364477,export,2011,10
United States,South Korea,3467.032763,export,2011,10
Canada,South Korea,415.208241,export,2011,10
Brazil,South Korea,566.220378,export,2011,10
United Kingdom,South Korea,309.015325,export,2011,10
Netherlands,South Korea,274.403043,export,2011,10
France,South Korea,363.750236,export,2011,10
Germany,South Korea,1247.953312,export,2011,10
Italy,South Korea,307.446934,export,2011,10
Russia,South Korea,1132.703435,export,2011,10
China,South Korea,6836.916034999999,export,2011,10
South Korea,South Korea,0.0,export,2011,10
Japan,South Korea,5303.9390920000005,export,2011,10
India,South Korea,230.883548,export,2011,10
Singapore,South Korea,1230.057849,export,2011,10
Indonesia,South Korea,1663.263276,export,2011,10
United States,Japan,6141.966579,export,2011,10
Canada,Japan,847.819734,export,2011,10
Brazil,Japan,997.803353,export,2011,10
United Kingdom,Japan,651.0195259999999,export,2011,10
Netherlands,Japan,546.341897,export,2011,10
France,Japan,829.001366,export,2011,10
Germany,Japan,1971.784853,export,2011,10
Italy,Japan,594.524381,export,2011,10
Russia,Japan,1203.93075,export,2011,10
China,Japan,12553.906995,export,2011,10
South Korea,Japan,3293.967875,export,2011,10
Japan,Japan,0.0,export,2011,10
India,Japan,403.660781,export,2011,10
Singapore,Japan,1681.313321,export,2011,10
Indonesia,Japan,2261.115109,export,2011,10
United States,India,1720.1693690000002,export,2011,10
Canada,India,270.732656,export,2011,10
Brazil,India,399.403539,export,2011,10
United Kingdom,India,1106.628649,export,2011,10
Netherlands,India,256.546372,export,2011,10
France,India,362.839911,export,2011,10
Germany,India,1207.935917,export,2011,10
Italy,India,427.423789,export,2011,10
Russia,India,302.423339,export,2011,10
China,India,4531.719763,export,2011,10
South Korea,India,915.627178,export,2011,10
Japan,India,938.444264,export,2011,10
India,India,0.0,export,2011,10
Singapore,India,900.43621,export,2011,10
Indonesia,India,919.884474,export,2011,10
United States,Singapore,2501.928088,export,2011,10
Canada,Singapore,69.205084,export,2011,10
Brazil,Singapore,66.999953,export,2011,10
United Kingdom,Singapore,514.507876,export,2011,10
Netherlands,Singapore,292.283054,export,2011,10
France,Singapore,668.733078,export,2011,10
Germany,Singapore,682.16944,export,2011,10
Italy,Singapore,195.262831,export,2011,10
Russia,Singapore,208.419565,export,2011,10
China,Singapore,2674.396543,export,2011,10
South Korea,Singapore,1433.663933,export,2011,10
Japan,Singapore,1941.924165,export,2011,10
India,Singapore,1226.70656,export,2011,10
Singapore,Singapore,0.0,export,2011,10
Indonesia,Singapore,1419.847292,export,2011,10
United States,Indonesia,643.722812,export,2011,10
Canada,Indonesia,139.49020900000002,export,2011,10
Brazil,Indonesia,167.510358,export,2011,10
United Kingdom,Indonesia,94.743287,export,2011,10
Netherlands,Indonesia,79.692523,export,2011,10
France,Indonesia,80.65035300000001,export,2011,10
Germany,Indonesia,226.498462,export,2011,10
Italy,Indonesia,83.957707,export,2011,10
Russia,Indonesia,46.795358,export,2011,10
China,Indonesia,2205.927713,export,2011,10
South Korea,Indonesia,1223.030889,export,2011,10
Japan,Indonesia,1654.982559,export,2011,10
India,Indonesia,422.23055199999993,export,2011,10
Singapore,Indonesia,3811.651814,export,2011,10
Indonesia,Indonesia,0.0,export,2011,10
United States,United States,0.0,export,2011,11
Canada,United States,27610.683609,export,2011,11
Brazil,United States,2682.299302,export,2011,11
United Kingdom,United States,5243.334445,export,2011,11
Netherlands,United States,2484.936452,export,2011,11
France,United States,3088.330753,export,2011,11
Germany,United States,9076.096571,export,2011,11
Italy,United States,2532.489964,export,2011,11
Russia,United States,1442.211563,export,2011,11
China,United States,30930.455893,export,2011,11
South Korea,United States,5418.888943,export,2011,11
Japan,United States,11567.890522,export,2011,11
India,United States,2457.2751940000003,export,2011,11
Singapore,United States,1733.045248,export,2011,11
Indonesia,United States,1210.903299,export,2011,11
United States,Canada,23299.422929,export,2011,11
Canada,Canada,0.0,export,2011,11
Brazil,Canada,344.521561,export,2011,11
United Kingdom,Canada,657.2244049999999,export,2011,11
Netherlands,Canada,194.025835,export,2011,11
France,Canada,338.241422,export,2011,11
Germany,Canada,856.633368,export,2011,11
Italy,Canada,305.248111,export,2011,11
Russia,Canada,78.06016,export,2011,11
China,Canada,2258.376034,export,2011,11
South Korea,Canada,400.208889,export,2011,11
Japan,Canada,869.027048,export,2011,11
India,Canada,163.002248,export,2011,11
Singapore,Canada,154.900481,export,2011,11
Indonesia,Canada,82.74120699999999,export,2011,11
United States,Brazil,3578.233375,export,2011,11
Canada,Brazil,202.858761,export,2011,11
Brazil,Brazil,0.0,export,2011,11
United Kingdom,Brazil,346.22024,export,2011,11
Netherlands,Brazil,354.523697,export,2011,11
France,Brazil,610.187701,export,2011,11
Germany,Brazil,1273.298013,export,2011,11
Italy,Brazil,580.1055,export,2011,11
Russia,Brazil,218.304938,export,2011,11
China,Brazil,2692.864551,export,2011,11
South Korea,Brazil,741.411126,export,2011,11
Japan,Brazil,483.391106,export,2011,11
India,Brazil,422.41302,export,2011,11
Singapore,Brazil,192.939005,export,2011,11
Indonesia,Brazil,144.88710600000002,export,2011,11
United States,United Kingdom,4454.049078,export,2011,11
Canada,United Kingdom,1816.660943,export,2011,11
Brazil,United Kingdom,489.367824,export,2011,11
United Kingdom,United Kingdom,0.0,export,2011,11
Netherlands,United Kingdom,4518.271911,export,2011,11
France,United Kingdom,3436.7626,export,2011,11
Germany,United Kingdom,7849.759497,export,2011,11
Italy,United Kingdom,2226.864468,export,2011,11
Russia,United Kingdom,748.041627,export,2011,11
China,United Kingdom,4217.882943,export,2011,11
South Korea,United Kingdom,450.047753,export,2011,11
Japan,United Kingdom,1758.48755,export,2011,11
India,United Kingdom,723.4139700000001,export,2011,11
Singapore,United Kingdom,490.500844,export,2011,11
Indonesia,United Kingdom,137.935724,export,2011,11
United States,Netherlands,3380.3332,export,2011,11
Canada,Netherlands,480.975838,export,2011,11
Brazil,Netherlands,1146.839249,export,2011,11
United Kingdom,Netherlands,3104.241376,export,2011,11
Netherlands,Netherlands,0.0,export,2011,11
France,Netherlands,2074.567891,export,2011,11
Germany,Netherlands,8112.392953,export,2011,11
Italy,Netherlands,1181.236086,export,2011,11
Russia,Netherlands,5669.693525,export,2011,11
China,Netherlands,5377.923142000001,export,2011,11
South Korea,Netherlands,372.859974,export,2011,11
Japan,Netherlands,1432.091251,export,2011,11
India,Netherlands,980.294715,export,2011,11
Singapore,Netherlands,527.737045,export,2011,11
